1,(E)-2-nonenal,X000780,1.73E-03,5.51E-04,NA
2,1-MethylÿAdenosine,X000321,4.07E-03,1.50E-03,C02494
3,2-(hydroxymethyl)butanoicÿacid/ÿ2-Ethylhydracrylicÿacid,SL00296,6.67E-04,1.15E-04,"C22315	"
4,2-Hydroxybutyricÿacid/ÿ3-Hydroxybutyricÿacid,SL00173,6.33E-04,1.15E-04,C05984
5,2-Hydroxyisocaproicÿacid,X000130,9.33E-04,5.86E-04,C03264
6,2-Hydroxyoctanoicÿacid,X001016,1.33E-03,4.51E-04,C20793
7,2-Hydroxyphenylaceticÿacid,X001085,4.33E-04,1.15E-04,C05852
8,2-Methylbutyrylglycine,SL00178,6.67E-05,5.77E-05,"C03087	"
9,"2,5-Dihydroxybenzoicÿacid",X001036,3.33E-04,1.15E-04,C00628
10,3-(2-Hydroxyethyl)indole,SL00323,5.33E-04,1.15E-04,C00955
11,3-Aminoisobutanoicÿacid/ÿ?-aminobutyricÿacid/ÿ?-Aminobutyricÿacid,SL00002,1.03E-03,4.51E-04,C05145
12,3-Hydroxybenzoicÿacid/ÿSalicylicÿacid,SL00308,2.07E-03,5.86E-04,C00587
13,3-Methyl-2-oxovalericÿacid,SL00185,1.30E-03,4.58E-04,C00671
14,3-Methyladipicÿacid,X000647,3.30E-03,6.93E-04,C02656 
15,3-Phenyllacticÿacid,X000142,2.20E-03,9.00E-04,C05607
16,3-Ureidopropionicÿacid,X001075,5.00E-04,1.73E-04,C02642
17,4-Acetamidophenol,X000417,2.73E-03,5.51E-04,C06804
18,4-Guanidinobutyricÿacid,X000180,2.80E-03,1.40E-03,C01035
19,4-pyridoxicÿacid,X000376,3.40E-03,1.13E-03,C00847
20,4-Vinylguaiacol,SL00313,7.67E-04,2.31E-04,C17883
21,4-Vinylphenol,SL00298,3.00E-04,2.00E-04,C05627
22,"4,8-Dihydroxyquinoline-2-carboxylicÿacid",SL00279,3.33E-04,2.52E-04,C02470
23,5-Aminoÿvalericÿacid,SL00167,2.01E-02,3.81E-03,C00431
24,5-Hydroxyindole-3-aceticÿacid,X001015,6.67E-04,2.52E-04,C05635
25,5-Methoxytryptophan,SL00083,6.67E-04,4.73E-04,"C18969	"
26,5-Methylcytosine,X000516,2.00E-04,0.00E+00,C02376
27,5-Methyltryptophan,SL00085,7.37E-03,3.05E-03,C16831
28,5-Methyluridine,SL00288,6.00E-04,4.36E-04,"C05131	"
29,"5,6-DihydroÿThymine",SL00305,1.33E-04,5.77E-05,C00906
30,7-Methylguanine,X000287,5.77E-03,1.11E-03,C02242
31,Acetylcarnitine,SL00053,4.03E-03,2.63E-03,C02571
32,Acetylcholine,SL00005,2.73E-03,1.04E-03,C01996
33,Acetylhistidine,X000766,2.03E-03,8.08E-04,C02997
34,Acetylmuramicÿacid,X000544,2.07E-03,8.62E-04,C02713
35,Acetylsalicylicÿacid,SL00330,6.67E-05,5.77E-05,C01405
36,Adenine,SL00007,2.17E-03,1.51E-03,C00147
37,Adipicÿacid,SL00312,1.50E-03,3.00E-04,C06104
38,Allantoin,SL00319,6.67E-05,5.77E-05,C02350
39,Allopurinol,X000027,5.28E-02,5.31E-03,C00262
40,Arginine,X000015,7.40E-03,3.21E-03,C00062
41,Asparticÿacid,SL00014,3.33E-04,5.77E-05,C00049
42,Azelaicÿacid,X000044,7.65E-02,1.60E-02,C08261
43,Betaine,SL00015,2.25E-02,8.45E-03,C00719
44,Bicine,SL00096,1.67E-04,5.77E-05,C20311 
45,Biotin,SL00097,0.00E+00,0.00E+00,C00120
46,Butyrylcarnitine,SL00285,2.67E-04,2.08E-04,C02862
47,Carnitine,SL00016,7.77E-03,4.05E-03,C00487
48,Carnosine,X001056,4.00E-04,3.00E-04,C00386
49,CDP,SL00018,4.33E-04,1.53E-04,C00112
50,Choline,X000008,1.23E-01,9.85E-03,C00114
51,Citrulline,X000096,1.03E-03,1.53E-04,C00327
52,Creatine,SL00022,8.03E-03,2.68E-03,C00300
53,Creatinine,X000021,7.11E-02,5.83E-02,C00791
54,Cytidine,X000040,1.57E-02,7.94E-03,C00475
55,Cytosine,X000006,4.60E-03,1.51E-03,C00380
56,Daidzein,X001785,1.00E-04,1.00E-04,C10208
57,dCytidine,SL00001,2.07E-03,1.17E-03,C00881
58,dInosine,X000363,3.53E-03,1.86E-03,C05512
59,Dissaccharides,X000173,7.27E-03,2.01E-03,C00243
60,Dodecanedioicÿacid,X000035,6.68E-02,3.28E-02,C02678
61,DOPA,SL00276,1.07E-03,3.21E-04,C00355
62,Dopamine,X000645,4.33E-04,3.51E-04,C03758
63,dUridine,X000701,1.30E-03,7.81E-04,C00526
64,Ethylÿvanillin,X000549,1.87E-03,6.66E-04,C01198
65,Ethylmalonicÿacid,SL00201,3.50E-03,1.15E-03,C06010
66,Galactonicÿacid/ÿGluconicÿacid,SL00203,3.33E-04,1.53E-04,C00880
67,GDP,SL00362,3.00E-04,1.73E-04,C00035
68,Glucosamine/ÿGalactosamine,SL00107,2.43E-03,9.61E-04,C00329
69,Glutamine,SL00030,3.00E-04,1.00E-04,C00064
70,Glycericÿacid,SL00206,2.67E-04,5.77E-05,C00258
71,Guanosine,SL00032,1.40E-03,6.08E-04,C00387
72,HexanoylÿGlycine,SL00112,1.00E-04,0.00E+00,"C02710	"
73,Hexose,SL00105,4.40E-03,1.61E-03,C00095
74,Hippuricÿacid,X001597,1.67E-04,2.08E-04,C01586
75,Histidine,X000109,9.33E-04,2.08E-04,C00135
76,Homovanilicÿacid,SL00333,1.33E-04,5.77E-05,C05582
77,Hypoxanthine,X000007,1.27E-01,1.37E-02,C00262
78,Imidazoleaceticÿacid,X000295,2.67E-04,1.15E-04,C02835
79,Indole-3-aceticÿacid,X000280,2.93E-03,9.87E-04,C00954
80,Indole-3-carboxylate,X000043,3.79E-02,7.79E-03,C19837
81,Indole-3-glyoxylicÿacid,X000530,5.00E-04,3.61E-04,C01717
82,Indole-3-lacticÿacid,SL00278,7.00E-04,6.08E-04,C02043
83,Indole-3-propionicÿacid,X000124,1.21E-02,1.40E-02,"C22236	"
84,Inosine,X000049,1.71E-02,3.04E-03,C00294
85,Isoleucine,SL00037,5.77E-03,3.27E-03,C00407
86,Kynurenicÿacid,SL00267,1.20E-03,8.19E-04,C01717
87,Kynurenine,SL00039,2.67E-04,2.08E-04,C00328
88,Lacticÿacid,SL00213,1.63E-03,6.51E-04,C00186
89,Leucine,SL00040,6.63E-03,2.91E-03,C00123
90,Leucyl-alanine,X000944,4.00E-04,2.00E-04,NA
91,Lysine,SL00043,1.17E-03,4.04E-04,C00047
92,Malicÿacid,SL00214,2.00E-04,0.00E+00,C00149
93,Methanesulfonicÿacid,SL00215,1.00E-04,0.00E+00,C11145
94,Methionine,X000222,2.97E-03,1.46E-03,C00073
95,Methionineÿsulfoxide,X000059,9.33E-04,2.08E-04,C02989
96,N-Acetyl-5-hydroxytryptamine,X000278,7.47E-03,3.00E-03,C00978
97,N-Acetyl-arginine,SL00049,3.00E-04,0.00E+00,NA
98,N-Acetyl-asparticÿacid,SL00127,1.00E-04,0.00E+00,C01042
99,N-Acetyl-glycine,SL00216,2.33E-04,5.77E-05,"C00441	"
100,N-Acetyl-mannosamine/ÿN-Acetyl-glucosamine,SL00282,2.00E-04,1.00E-04,C00645
101,N-acetyl-methionine,X001332,3.33E-04,1.53E-04,C02712
102,N-Acetyl-ornithine,X000546,1.40E-03,2.65E-04,C00437
103,N-Acetyl-phenylalanine,X000341,1.97E-03,7.57E-04,C03519
104,N-Acetyl-tyrosine,X000951,6.67E-04,2.08E-04,C01657
105,N-Acetylneuraminicÿacid,X001275,4.67E-04,2.31E-04,C19910
106,N-alpha-Acetyl-L-lysine,SL00132,2.10E-03,5.29E-04,C12989
107,N-Formylmethionine,X001069,1.67E-04,2.08E-04,C03145
108,"N,N-Dimethylglycine",SL00295,8.67E-04,2.08E-04,C01026
109,"N,N?-Hexamethyleneÿbis(acetamide)",X000757,4.33E-04,2.08E-04,NA
110,Nicotinicÿacid,SL00130,2.05E-02,1.79E-03,C00253
111,Ornithine,X000323,1.33E-04,5.77E-05,C00077
112,Pantothenicÿacid,X000003,5.20E-03,2.34E-03,C00864
113,Pentoses,SL00227,8.33E-04,3.21E-04,C00121
114,Phenylalanine,X000012,1.41E-02,2.37E-03,C00079
115,Pipecolinicÿacid,X000100,6.27E-03,1.10E-03,C00408
116,Proline,X000019,6.11E-02,7.77E-04,C00148
117,Propionylcarnitine,X000430,1.07E-03,6.11E-04,C03017
118,Putrescine,SL00294,4.67E-04,1.53E-04,C00134
119,Pyroglutamicÿacid,SL00138,1.33E-03,2.52E-04,C01879
120,Quinicÿacid,SL00226,1.33E-04,5.77E-05,C00296
121,Ribulose-5-phosphate,X000930,6.67E-04,1.53E-04,C00199
122,Sebacicÿacid,X000127,2.10E-02,4.92E-03,C08277
123,Serine,SL00066,3.33E-05,5.77E-05,C00065
124,Succinicÿacid,SL00144,2.63E-03,2.52E-04,C00042
125,Taurine,SL00068,0.00E+00,0.00E+00,C00245
126,Tetradecanedioicÿacid,X000668,1.87E-03,1.00E-03,C11002
127,Thiamine,X000047,1.53E-03,1.57E-03,C00378
128,Threonine,SL00072,1.00E-04,0.00E+00,C00188
129,Thymidine,SL00237,2.40E-03,1.76E-03,C00214
130,Thymine,SL00252,5.67E-04,3.79E-04,C00178
131,Trans-2-octenal,X000527,4.00E-03,1.61E-03,C21138
132,Traumaticÿacid,X000501,3.73E-03,1.60E-03,C16308
133,Trigonelline,SL00149,1.33E-03,2.52E-04,C01004
134,TrimethylamineÿN-Oxide,SL00249,4.00E-04,5.29E-04,C01104
135,Tryptamine,SL00322,1.43E-03,1.05E-03,C00398
136,Tryptophan,SL00073,8.00E-04,2.65E-04,C00078
137,Tyrosine,X000046,4.88E-02,1.43E-02,C00082
138,UMP,SL00078,1.67E-04,5.77E-05,C00105
139,Uracil,X000254,4.77E-03,1.85E-03,C00106
140,Uricÿacid,X001000,5.33E-04,1.15E-04,C00366
141,Uridine,SL00153,1.80E-03,6.24E-04,C00299
142,Vanillylÿalcohol,SL00261,2.00E-03,7.21E-04,C06317
143,Xanthine,X000030,1.44E-02,1.97E-03,C00385
144,Xanthosine,X001354,3.67E-04,2.89E-04,C01762
